version,w,s,i,time (ms)
orig,1,None,11,5292.840
orig,1,None,12,5830.127
orig,1,None,13,5391.333
orig,1,None,14,5480.156
orig,1,None,15,5413.966
orig,1,None,21,5380.658
orig,1,None,22,6053.857
orig,1,None,23,5871.195
orig,1,None,24,6304.001
orig,1,None,25,5295.508
orig,1,None,31,5801.863
orig,1,None,32,5801.438
orig,1,None,33,5310.502
orig,1,None,34,5843.295
orig,1,None,35,5321.694
orig,10,None,11,2819.346
orig,10,None,12,3021.294
orig,10,None,13,2730.235
orig,10,None,14,2575.199
orig,10,None,15,2579.984
orig,10,None,21,2550.006
orig,10,None,22,2756.021
orig,10,None,23,2744.898
orig,10,None,24,2656.425
orig,10,None,25,2564.092
orig,10,None,31,2952.160
orig,10,None,32,2784.988
orig,10,None,33,2698.824
orig,10,None,34,2546.573
orig,10,None,35,2691.231
orig,12,None,11,2351.469
orig,12,None,12,2373.943
orig,12,None,13,2437.100
orig,12,None,14,2654.279
orig,12,None,15,2392.038
orig,12,None,21,2517.777
orig,12,None,22,2624.764
orig,12,None,23,2402.534
orig,12,None,24,2645.340
orig,12,None,25,2642.277
orig,12,None,31,2545.506
orig,12,None,32,2656.935
orig,12,None,33,2553.249
orig,12,None,34,2531.295
orig,12,None,35,2539.227
orig,14,None,11,2548.597
orig,14,None,12,2296.911
orig,14,None,13,2619.885
orig,14,None,14,2793.975
orig,14,None,15,2611.056
orig,14,None,21,2459.647
orig,14,None,22,2430.744
orig,14,None,23,2501.608
orig,14,None,24,2483.746
orig,14,None,25,2446.063
orig,14,None,31,2583.964
orig,14,None,32,2917.696
orig,14,None,33,2602.298
orig,14,None,34,2259.559
orig,14,None,35,2605.459
orig,16,None,11,2732.618
orig,16,None,12,2518.389
orig,16,None,13,2503.718
orig,16,None,14,2512.268
orig,16,None,15,2586.906
orig,16,None,21,2534.922
orig,16,None,22,2540.530
orig,16,None,23,2474.786
orig,16,None,24,2647.558
orig,16,None,25,2589.922
orig,16,None,31,2496.624
orig,16,None,32,2625.085
orig,16,None,33,2523.117
orig,16,None,34,2689.086
orig,16,None,35,2680.944
orig,18,None,11,2580.909
orig,18,None,12,2765.969
orig,18,None,13,2398.823
orig,18,None,14,2528.449
orig,18,None,15,2614.084
orig,18,None,21,2364.597
orig,18,None,22,2509.825
orig,18,None,23,2585.428
orig,18,None,24,2426.240
orig,18,None,25,2445.307
orig,18,None,31,2447.235
orig,18,None,32,2629.441
orig,18,None,33,2461.519
orig,18,None,34,2409.343
orig,18,None,35,2519.939
orig,2,None,11,4486.889
orig,2,None,12,4341.323
orig,2,None,13,4141.625
orig,2,None,14,4513.763
orig,2,None,15,3950.770
orig,2,None,21,4241.366
orig,2,None,22,4421.974
orig,2,None,23,4110.064
orig,2,None,24,3689.505
orig,2,None,25,4368.637
orig,2,None,31,3970.132
orig,2,None,32,3907.460
orig,2,None,33,3915.648
orig,2,None,34,4199.798
orig,2,None,35,3948.558
orig,20,None,11,2233.908
orig,20,None,12,2524.617
orig,20,None,13,2483.866
orig,20,None,14,2304.683
orig,20,None,15,2590.892
orig,20,None,21,2502.827
orig,20,None,22,2398.216
orig,20,None,23,2370.947
orig,20,None,24,2235.834
orig,20,None,25,2409.877
orig,20,None,31,2448.444
orig,20,None,32,2514.350
orig,20,None,33,2503.500
orig,20,None,34,2496.613
orig,20,None,35,2479.870
orig,22,None,11,2369.031
orig,22,None,12,2484.096
orig,22,None,13,2482.636
orig,22,None,14,2494.289
orig,22,None,15,2395.919
orig,22,None,21,2443.307
orig,22,None,22,2235.383
orig,22,None,23,2356.354
orig,22,None,24,2223.033
orig,22,None,25,2278.283
orig,22,None,31,2486.542
orig,22,None,32,2389.780
orig,22,None,33,2366.333
orig,22,None,34,2320.528
orig,22,None,35,2271.157
orig,24,None,11,2392.914
orig,24,None,12,2390.447
orig,24,None,13,2442.315
orig,24,None,14,2460.072
orig,24,None,15,2385.378
orig,24,None,21,2243.945
orig,24,None,22,2427.400
orig,24,None,23,2177.358
orig,24,None,24,2462.006
orig,24,None,25,2309.331
orig,24,None,31,2256.145
orig,24,None,32,2332.108
orig,24,None,33,2484.207
orig,24,None,34,2329.247
orig,24,None,35,2184.048
orig,26,None,11,2389.703
orig,26,None,12,2186.994
orig,26,None,13,2529.736
orig,26,None,14,2262.118
orig,26,None,15,2419.830
orig,26,None,21,2355.840
orig,26,None,22,2304.711
orig,26,None,23,2434.599
orig,26,None,24,2294.439
orig,26,None,25,2233.712
orig,26,None,31,2339.087
orig,26,None,32,2191.108
orig,26,None,33,2134.912
orig,26,None,34,2274.884
orig,26,None,35,2402.697
orig,28,None,11,2043.408
orig,28,None,12,2131.839
orig,28,None,13,2116.335
orig,28,None,14,2232.320
orig,28,None,15,2409.241
orig,28,None,21,2286.290
orig,28,None,22,2334.522
orig,28,None,23,2203.833
orig,28,None,24,2264.949
orig,28,None,25,2128.530
orig,28,None,31,2299.672
orig,28,None,32,2335.395
orig,28,None,33,2321.884
orig,28,None,34,2303.787
orig,28,None,35,2268.829
orig,30,None,11,2196.427
orig,30,None,12,2128.701
orig,30,None,13,2244.746
orig,30,None,14,2333.264
orig,30,None,15,2189.761
orig,30,None,21,2252.329
orig,30,None,22,2145.529
orig,30,None,23,2307.011
orig,30,None,24,2257.680
orig,30,None,25,2470.956
orig,30,None,31,2281.356
orig,30,None,32,2331.116
orig,30,None,33,2298.290
orig,30,None,34,2152.110
orig,30,None,35,2186.359
orig,32,None,11,2329.846
orig,32,None,12,2229.630
orig,32,None,13,2106.157
orig,32,None,14,2238.672
orig,32,None,15,2182.998
orig,32,None,21,2138.717
orig,32,None,22,2176.947
orig,32,None,23,2182.003
orig,32,None,24,2035.651
orig,32,None,25,2205.386
orig,32,None,31,2194.286
orig,32,None,32,2175.795
orig,32,None,33,2020.894
orig,32,None,34,2325.435
orig,32,None,35,2283.554
orig,34,None,11,2213.246
orig,34,None,12,2250.841
orig,34,None,13,2337.754
orig,34,None,14,2240.513
orig,34,None,15,2200.167
orig,34,None,21,2310.961
orig,34,None,22,2273.976
orig,34,None,23,2227.820
orig,34,None,24,2019.228
orig,34,None,25,2290.370
orig,34,None,31,2364.986
orig,34,None,32,2222.630
orig,34,None,33,1997.648
orig,34,None,34,2372.745
orig,34,None,35,2170.583
orig,36,None,11,2195.215
orig,36,None,12,2038.403
orig,36,None,13,2084.091
orig,36,None,14,2236.748
orig,36,None,15,2265.779
orig,36,None,21,2057.689
orig,36,None,22,2244.006
orig,36,None,23,2106.310
orig,36,None,24,2231.376
orig,36,None,25,1988.529
orig,36,None,31,2117.800
orig,36,None,32,2125.376
orig,36,None,33,2093.182
orig,36,None,34,2075.562
orig,36,None,35,2024.405
orig,38,None,11,2196.295
orig,38,None,12,2205.952
orig,38,None,13,2121.958
orig,38,None,14,2139.188
orig,38,None,15,2251.626
orig,38,None,21,2132.558
orig,38,None,22,2121.579
orig,38,None,23,2075.833
orig,38,None,24,2139.080
orig,38,None,25,2286.290
orig,38,None,31,2261.567
orig,38,None,32,2097.804
orig,38,None,33,2146.916
orig,38,None,34,2153.305
orig,38,None,35,2227.683
orig,4,None,11,3424.430
orig,4,None,12,3273.392
orig,4,None,13,3340.973
orig,4,None,14,3557.582
orig,4,None,15,3703.201
orig,4,None,21,3367.286
orig,4,None,22,3426.250
orig,4,None,23,3508.539
orig,4,None,24,3449.836
orig,4,None,25,3575.164
orig,4,None,31,3189.007
orig,4,None,32,3527.701
orig,4,None,33,3382.645
orig,4,None,34,3623.831
orig,4,None,35,3227.032
orig,40,None,11,2333.881
orig,40,None,12,2103.248
orig,40,None,13,2303.314
orig,40,None,14,2171.630
orig,40,None,15,2224.507
orig,40,None,21,1984.692
orig,40,None,22,2194.602
orig,40,None,23,2103.606
orig,40,None,24,2150.382
orig,40,None,25,2031.104
orig,40,None,31,2100.671
orig,40,None,32,2113.546
orig,40,None,33,2130.714
orig,40,None,34,2192.108
orig,40,None,35,2121.990
orig,42,None,11,2097.405
orig,42,None,12,2254.078
orig,42,None,13,2080.944
orig,42,None,14,2086.178
orig,42,None,15,2216.218
orig,42,None,21,2075.255
orig,42,None,22,2070.298
orig,42,None,23,2101.870
orig,42,None,24,2126.122
orig,42,None,25,2186.600
orig,42,None,31,2136.367
orig,42,None,32,2084.798
orig,42,None,33,2093.400
orig,42,None,34,2140.408
orig,42,None,35,2115.481
orig,44,None,11,1984.275
orig,44,None,12,2255.859
orig,44,None,13,2049.936
orig,44,None,14,2135.069
orig,44,None,15,2125.190
orig,44,None,21,2000.962
orig,44,None,22,2135.501
orig,44,None,23,2014.908
orig,44,None,24,2237.144
orig,44,None,25,2274.488
orig,44,None,31,1970.537
orig,44,None,32,2094.635
orig,44,None,33,2134.712
orig,44,None,34,2078.783
orig,44,None,35,2329.997
orig,46,None,11,2084.990
orig,46,None,12,2204.294
orig,46,None,13,2087.343
orig,46,None,14,2023.683
orig,46,None,15,2129.924
orig,46,None,21,2076.861
orig,46,None,22,2209.022
orig,46,None,23,2315.500
orig,46,None,24,2252.455
orig,46,None,25,2065.925
orig,46,None,31,1934.541
orig,46,None,32,2155.782
orig,46,None,33,2126.281
orig,46,None,34,2138.099
orig,46,None,35,2034.400
orig,48,None,11,2165.392
orig,48,None,12,1960.603
orig,48,None,13,2044.109
orig,48,None,14,2120.628
orig,48,None,15,2190.827
orig,48,None,21,2153.478
orig,48,None,22,2133.168
orig,48,None,23,2036.591
orig,48,None,24,2146.542
orig,48,None,25,2328.631
orig,48,None,31,2203.227
orig,48,None,32,1978.461
orig,48,None,33,2101.251
orig,48,None,34,2143.323
orig,48,None,35,2130.021
orig,50,None,11,2224.431
orig,50,None,12,2230.357
orig,50,None,13,1978.197
orig,50,None,14,2023.339
orig,50,None,15,2334.175
orig,50,None,21,2142.673
orig,50,None,22,2207.952
orig,50,None,23,2227.692
orig,50,None,24,2169.260
orig,50,None,25,2132.403
orig,50,None,31,2184.227
orig,50,None,32,2175.430
orig,50,None,33,2272.264
orig,50,None,34,2252.557
orig,50,None,35,2216.516
orig,52,None,11,2139.122
orig,52,None,12,2343.530
orig,52,None,13,2314.710
orig,52,None,14,2205.035
orig,52,None,15,2369.729
orig,52,None,21,2196.061
orig,52,None,22,2173.598
orig,52,None,23,2143.022
orig,52,None,24,2278.294
orig,52,None,25,2130.424
orig,52,None,31,2314.948
orig,52,None,32,2289.317
orig,52,None,33,2237.050
orig,52,None,34,2166.184
orig,52,None,35,2324.501
orig,54,None,11,2215.683
orig,54,None,12,2221.519
orig,54,None,13,2126.416
orig,54,None,14,2302.449
orig,54,None,15,2396.199
orig,54,None,21,2242.253
orig,54,None,22,2253.044
orig,54,None,23,2194.269
orig,54,None,24,2076.722
orig,54,None,25,2297.558
orig,54,None,31,2255.012
orig,54,None,32,2226.977
orig,54,None,33,2130.568
orig,54,None,34,2192.430
orig,54,None,35,2216.622
orig,56,None,11,2219.848
orig,56,None,12,2319.931
orig,56,None,13,2146.036
orig,56,None,14,2228.770
orig,56,None,15,2371.438
orig,56,None,21,2241.442
orig,56,None,22,2303.319
orig,56,None,23,2441.890
orig,56,None,24,2348.907
orig,56,None,25,2367.050
orig,56,None,31,2254.298
orig,56,None,32,2202.067
orig,56,None,33,2446.785
orig,56,None,34,2223.877
orig,56,None,35,2298.210
orig,58,None,11,2431.737
orig,58,None,12,2139.008
orig,58,None,13,2366.219
orig,58,None,14,2242.956
orig,58,None,15,2399.424
orig,58,None,21,2403.231
orig,58,None,22,2387.743
orig,58,None,23,2618.925
orig,58,None,24,2331.741
orig,58,None,25,2224.699
orig,58,None,31,2271.930
orig,58,None,32,2634.246
orig,58,None,33,2284.551
orig,58,None,34,2368.502
orig,58,None,35,2234.527
orig,6,None,11,3127.559
orig,6,None,12,3328.611
orig,6,None,13,3078.269
orig,6,None,14,3239.575
orig,6,None,15,3385.434
orig,6,None,21,3099.778
orig,6,None,22,3295.015
orig,6,None,23,3040.712
orig,6,None,24,2910.489
orig,6,None,25,3332.767
orig,6,None,31,2731.631
orig,6,None,32,2870.023
orig,6,None,33,2991.162
orig,6,None,34,3140.541
orig,6,None,35,2811.501
orig,60,None,11,2248.543
orig,60,None,12,2312.668
orig,60,None,13,2309.042
orig,60,None,14,2502.727
orig,60,None,15,2551.545
orig,60,None,21,2409.066
orig,60,None,22,2534.785
orig,60,None,23,2502.898
orig,60,None,24,2453.353
orig,60,None,25,2402.530
orig,60,None,31,2512.206
orig,60,None,32,2423.618
orig,60,None,33,2473.681
orig,60,None,34,2454.799
orig,60,None,35,2523.156
orig,62,None,11,2676.019
orig,62,None,12,2467.551
orig,62,None,13,2396.779
orig,62,None,14,2381.616
orig,62,None,15,2432.033
orig,62,None,21,2877.732
orig,62,None,22,2497.546
orig,62,None,23,2613.656
orig,62,None,24,2414.393
orig,62,None,25,2548.607
orig,62,None,31,2392.011
orig,62,None,32,2646.492
orig,62,None,33,2721.460
orig,62,None,34,2823.919
orig,62,None,35,2502.835
orig,64,None,11,2332.507
orig,64,None,12,2661.151
orig,64,None,13,2580.031
orig,64,None,14,2483.522
orig,64,None,15,2424.197
orig,64,None,21,2783.048
orig,64,None,22,2815.310
orig,64,None,23,2380.988
orig,64,None,24,2750.470
orig,64,None,25,2743.591
orig,64,None,31,2681.451
orig,64,None,32,2874.888
orig,64,None,33,2720.014
orig,64,None,34,2666.728
orig,64,None,35,2579.338
orig,8,None,11,2599.114
orig,8,None,12,2905.701
orig,8,None,13,3022.823
orig,8,None,14,2800.013
orig,8,None,15,2849.437
orig,8,None,21,2653.614
orig,8,None,22,3045.756
orig,8,None,23,2853.500
orig,8,None,24,2919.903
orig,8,None,25,2681.290
orig,8,None,31,2831.587
orig,8,None,32,3169.772
orig,8,None,33,2853.959
orig,8,None,34,3181.217
orig,8,None,35,3014.106
txact,1,1,11,13399.861
txact,1,1,12,13763.423
txact,1,1,13,13353.177
txact,1,1,14,14967.060
txact,1,1,15,13700.880
txact,1,1,21,14723.530
txact,1,1,22,13529.389
txact,1,1,23,13409.403
txact,1,1,24,14286.227
txact,1,1,25,13676.567
txact,1,1,31,13193.378
txact,1,1,32,16041.828
txact,1,1,33,14312.871
txact,1,1,34,13465.342
txact,1,1,35,13818.457
txact,1,10,11,17584.101
txact,1,10,12,17707.438
